Work,Date
Regarding allotment of rooms (GW10 & GW-12) for the workshop on Applied Research Methodology in Social Science from June 17th to 23th 2019Regarding allotment of rooms (GW10 & GW-12) for the workshop on Applied Research Methodology in Social Science from J,2019-06-06 00:00:00
Electric board is broken in H-47.,2019-01-01 00:00:00
One no. power combined is damaged in office of Dean(RGIA),2019-01-01 00:00:00
Some tube lights are not working in Engineering mechanics lab.,2019-01-03 00:00:00
One no. 63 amp 4 pole isolator is burnt in HMT lab.,2019-01-03 00:00:00
"Fixing of LED bulbs, holder with wire on the roof near FN-3 Class room for solar energy laboratory.",2019-01-04 00:00:00
Required one no. extension board in strength of material lab.,2019-01-11 00:00:00
Two nos. tube lights are not working in chamber of Dr Sanjeev Rai.,2019-02-01 00:00:00
"Board, switch, socket plug top and wire required for the machine installation in admin building.",2019-02-01 00:00:00
Tube light is not working in the chamber of Dr. Audhesh Nararyan.,2019-02-01 00:00:00
Some CFLs are not working in VLSI lab.,2019-02-05 00:00:00
Some tube lights are not working in Transportation lab.,2019-02-05 00:00:00
Some tube lights are not working in the Head office and faculty rooms.,2018-02-06 00:00:00
Some tube lights are not working in the Research scholar lab.,2019-02-08 00:00:00
Requirement of uninterrupted power supply and operation of ACs in MP Hall during Renaissance-2019.,2019-03-01 00:00:00
Requirement of Diesel for DG sets in SV Hostel.,2019-03-01 00:00:00
40 nos. electrical points and also electrical wiring are required in the student technical club in the basement of Multipurpose Hall.,2019-03-01 00:00:00
Replacement of 05 nos. main switch in carpentry shop in workshop.,2019-03-05 00:00:00
One tube light is not working in the engineering mechanics lab.,2019-03-05 00:00:00
Requirement of one no. electric board with two nos. switch and socket for computer in Chamber of Dr. B Vasu.,2019-03-06 00:00:00
Some ceiling fans are not working in machine shop and carpentry shop in workshop.,2019-04-01 00:00:00
Three nos. Fan regulator are not working in the EED office.,2019-04-02 00:00:00
Requirement of uninterrupted power supply in conference hall of Dept. For oral examination on 03/04/2019.,2019-04-02 00:00:00
Some tube lights are not working in the office.,2019-04-02 00:00:00
Some tube lights are not working in UG Chemistry lab.,2019-04-02 00:00:00
Connection of UPS is to be checked in DST-FIST lab.,2019-04-03 00:00:00
Some LED bulbs and fan regulators are not working in Seminar Hall (EED) and Samulation lab (EED).,2019-05-01 00:00:00
Requirement of uninterrupted power supply in Seminar Hall of Dept. for oral examination on   .,2019-05-03 00:00:00
One 32 amp is not working in CAM Lab.,2019-05-07 00:00:00
Some 5 amp switches and sockets are not working in Lab.,2019-05-08 00:00:00
"Three nos. 8 modules modulor boards, 09 nos. 5 amp modulor sockets and 5 amps 09 nos. modular switches are required in EED office.",2019-05-28 00:00:00
Requirement of uninterrupted power supply in Seminar Hall of Health Centre on 25/05/2019.,2019-05-25 00:00:00
Requirement of uninterrupted power supply in Seminar Hall of Dept. on 28/05/2019.,2019-05-28 00:00:00
Replacement of one no. Tubelight in the chamber of Dr. Pragya Diwedi.,2019-06-04 00:00:00
Unintrrupted power supply for the the farewell  in Diesgn centre and Institute Seminar Hall 10/06/2019.,2019-06-06 00:00:00
Requirment of proper electrical wiring in HMT lab.,2019-06-07 00:00:00
Low voltage problem in chamber of Dr. Naresh Kumar,2019-06-07 00:00:00
Unintrrupted power supply for the workshop in confrence room of dept.,2019-06-07 00:00:00
Fan is moving  slow in the chamber of Dr. Avnish Kumar Dubey.,2019-06-10 00:00:00
Required casing caping and bead pin for projector wiring in class rooms and labs.,2019-06-11 00:00:00
"fixing of electrical board, tube light , fan & etc.",2019-01-03 00:00:00
"Electrical Items Require (LED bulb, wire  , shocket , switch, Chocket, tubelight & etc. ",2019-01-04 00:00:00
Outdoor Unit replacement of AC in server room,2019-01-07 00:00:00
"Electrical wiring , Electrical Maintenance work during summer time",2019-01-07 00:00:00
fixing of tube light in Mess .,2019-01-08 00:00:00
Supply & Fixing of Exhaust Fan in IH-B Bathrooms ,2019-01-10 00:00:00
Tube Light Attach,2019-01-03 00:00:00
Charing Port not Working,2019-01-03 00:00:00
Charing Port not Working,2019-01-03 00:00:00
Tube Light not Working,2019-01-03 00:00:00
Fan Regulator Not Working,2019-01-03 00:00:00
"Electrical Items Require (LED bulb, wire  , shocket , switch, Shocket, tubelight & etc. ",2019-02-07 00:00:00
Issued HDMI Cable to OC Time Table of the Institute ,2019-02-08 00:00:00
Gyzer are not working ,2019-02-09 00:00:00
Water cooler not working in proper condition ,2019-02-09 00:00:00
"Projector working status in GW-3, GW-11, GW-06& GW-09",2019-02-09 00:00:00
"Electrical Items Require (LED bulb, wire  , shocket , switch, Soket, tubelight & etc. ",2019-02-11 00:00:00
Requriment of tools/safty tools ,2019-02-13 00:00:00
AC Operation in Institute MP Hall /Seminar Hall  ,2019-03-01 00:00:00
Approval for Maintenance for ACs in Depat. Through Call Basis,2019-03-06 00:00:00
"Electrical Items Require (LED bulb, wire  , socket , switch, Socket, tube light & etc. ",2019-03-08 00:00:00
"Electrical Items Require (LED bulb, wire  , socket , switch, Socket, tube light & etc. ",2019-03-08 00:00:00
"Electrical Items Require (LED bulb, wire  , socket , switch, Socket, tube light & etc. ",2019-03-10 00:00:00
Request for annual maintenance of installed ACs in Dept.,2019-03-12 00:00:00
water cooler not working near central library ,2019-04-01 00:00:00
AC servicing in dean academic chamber ,2019-04-01 00:00:00
Air conditioners are not working in central library ,2019-04-01 00:00:00
Air conditioners are not working in NCC ,2019-04-04 00:00:00
"Electrical Items Require (Condenser ,fan regulator ,fan  & etc. ",2019-04-04 00:00:00
Request permission for Uninterrupted Air Conditioning facilities during Rukhsat-2019,2019-04-08 00:00:00
"Water Supply related issues in mess , rooms etc of PG Hostel.",2019-05-03 00:00:00
"LED bulb , Tube light are not working in proper condition in Dining hall, Kitchen , lobby etc.",2019-05-05 00:00:00
"Augured- Make Water cooler not working, Installed  near Mechanical workshop  ",2019-05-09 00:00:00
"AC Operation in Institute M.P Hall , Seminar Hall for Nodal level NRLM and MNAREGA Workshop 15-May, 2019 ",2019-05-10 00:00:00
"Electrical Items Require (LED Tube light , LED Fitting etc. ",2019-05-11 00:00:00
"Electrical Items Require (LED Tube light , LED Fitting etc. For fixing of various location of SNGH ",2019-05-13 00:00:00
"Request permission for Uninterrupted power supply, Air Conditioning facilities during meeting ",2019-06-01 00:00:00
"Electrical items require ceiling fan, sheet 8x6,5x5,12x13,condenser , socket, switch, Holder etc. ",2019-06-03 00:00:00
"Aquagrad water cooler is not working, installed near MP Hall of the Institute.",2019-06-04 00:00:00
"Air conditioners are not working, repairing and maintenance are require in control lab of EED.",2019-06-04 00:00:00
water cooler not working in SAC,2019-06-04 00:00:00
The Fire system in SVBH has failed and there is urgent need to refill all fire extinguisher cylinders & repaired motor in SVBH ,2019-06-04 00:00:00
AC Operation in Institute Seminar Hall for Applied Mechanics Department is going to organize is farewell function of M-Tech 2nd year student of the department on dated 14 june-19,2019-06-07 00:00:00
water cooler not working in SAC,2019-06-07 00:00:00
Repair/replacement of commode seat cover and fixing of wooden cupboard in Qtr No. IH-308.,2019-01-07 00:00:00
Request for cutting tree branches in qtr C-11,2019-01-09 00:00:00
Pointing in the approach lane of the garage at house B-14 staff colony.,2018-01-09 00:00:00
Required Jet spray of the commode in bathroom qtr no.C-44,2019-01-16 00:00:00
Repair of plaster and white wash,2019-01-15 00:00:00
Request for roof sheet/slab with insulators for verandah in D-04,2019-02-01 00:00:00
Request to repair toilet flush of my residence Qtr. No. C – 10 ,2019-02-11 00:00:00
Regarding for water supply to washing machine and other problem Qtr. No. H-40 ,2019-02-13 00:00:00
Request for urgent requirement of a roof sheet/slab with insulators and fall ceiling for verandah in Qtr. No. D-02,2019-02-14 00:00:00
Sewer pipe repair work in qtr in Qtr. No. C – 07 ,2019-02-15 00:00:00
Cutting a tree qtr. No. C-27,2019-02-19 00:00:00
Installation of new tap at upstairs of C-54,2019-02-19 00:00:00
Request for urgent requirement of a roof sheet/slab with insulators and fall ceiling for verandah in             D-06.,2019-02-21 00:00:00
Regarding cleaning of EDC Park for celebration of Holi Milan Programme  on dated 21-03-2019.,2019-03-06 00:00:00
Regarding cleaning of EDC Park for celebration of Holika Dahan Programme  on dated 20-03-2019.,2019-03-06 00:00:00
Request for Civil work in Qtr No. IH-A-301,2019-03-11 00:00:00
White wash and painting of the House No. IH-205.,2019-03-11 00:00:00
White wash and painting work of IH-205,2019-03-11 00:00:00
Request for mosquito net at the back side grilled and window in qtr no. G-13,2019-03-13 00:00:00
Bathroom toilet seat cover  repair in qtr. No. IH-105,2019-03-12 00:00:00
Repair of bathroom toilet seat cover in qtr No. IH-105,2019-03-13 00:00:00
Request for door of both bathroom in my qtr A-15,2019-04-01 00:00:00
Request for civil repair work of qtr no. G-21,2019-04-02 00:00:00
White wash work in IH-205 A -block,2019-04-08 00:00:00
Request for install aluminium panels to be replaced wooden panels ,2019-04-08 00:00:00
White wash work in IH-204 A -block,2019-04-09 00:00:00
Wall painting of House no. H-35,2019-05-01 00:00:00
White wash work in qtr no. C-18,2019-05-08 00:00:00
Replacement of Cover of Commode seat qtr No. C-05,2019-06-17 00:00:00
White wash and painting work house No. IH-A-305,2019-06-10 00:00:00
Boundary wall lights not working,2019-01-01 00:00:00
Street light not working,2019-01-02 00:00:00
Street light not working,2019-01-02 00:00:00
Street light fault ,2019-01-02 00:00:00
Requirement of Ceiling fan & switch.,2019-01-02 00:00:00
Requirement of one power combined with board.,2019-01-02 00:00:00
"Requirement of One no. board, switch, socket & wire.",2019-01-04 00:00:00
Requirement of Electrical wiring.,2019-01-04 00:00:00
Request for repairing of lights at the tennis court.,2019-01-31 00:00:00
"Requirement of 32A main switch, switch, socket, holder & power combined.",2019-02-01 00:00:00
"Requirement of  switch, socket, holder & power combined.",2019-02-01 00:00:00
Two nos. switches are not working.,2019-02-01 00:00:00
"Requirement of MCB, power combined 15A & wire.",2019-02-05 00:00:00
"Requirement of  switch, socket, holder, power combined, regulator & board.",2019-02-05 00:00:00
"Requirement of  boards, switch & socket.",2019-02-05 00:00:00
Requirement of some electrical item. (New Allottment),2019-02-26 00:00:00
Requirement of some electrical item. (New Allottment),2019-02-26 00:00:00
One Power combined 15A not working.,2019-03-02 00:00:00
Request for repairing/ replacement of regulator.,2019-03-06 00:00:00
Request for two nos. fan are not working.,2019-03-06 00:00:00
Request for repairing & maintenance of switch board.,2019-03-06 00:00:00
Request for repairing/ replacement of ceiling fan.,2019-03-29 00:00:00
Requirement of some electrical item.,2019-04-03 00:00:00
Requirement of some electrical item.,2019-04-03 00:00:00
Request for repairing/ replacement of ceiling fan.,2019-04-03 00:00:00
Request for two nos. fan are not working.,2019-04-04 00:00:00
"Some tube light, LED Bulb are require & One fan not working.",2019-04-04 00:00:00
Requirement of bulb holder.,2019-05-03 00:00:00
Request for repairing/ replacement of ceiling fan.,2019-05-03 00:00:00
Some eletrical item  are required.,2019-05-03 00:00:00
Requirement of switch & socket item.,2019-05-03 00:00:00
Request for repairing of ceiling fan.,2019-05-08 00:00:00
Request for 24 Hrs power supply,2019-05-08 00:00:00
Shifting of solar pole .,2019-05-08 00:00:00
Some eletrical works are required.,2019-05-09 00:00:00
One No MCB are not working,2019-06-01 00:00:00
Light problum,2019-06-01 00:00:00
Some switches are not working.,2019-06-02 00:00:00
Some electrical works,2019-06-02 00:00:00
Street light are not working,2019-06-02 00:00:00
Fan are not working properly,2019-06-04 00:00:00
Request for holder are not working.,2019-06-04 00:00:00
Request for board fixing.,2019-06-05 00:00:00
