Work,Date
Street lights is not working near Computer centre.,2018-10-23 00:00:00
Two no. tube lights are not working in Chamber of Dr. R.P. Tiwari.,2018-10-24 00:00:00
Fan  is moving slow.,2018-10-24 00:00:00
Uninterrupted power supply & AC operation in Institute Seminar Hall for Rashtriya Ekta Diwas.,2018-10-24 00:00:00
Some tube lights are not working in office,2018-10-25 00:00:00
Uninterrupted power supply & AC operation in MP Hall for Yoga competition.,2018-10-25 00:00:00
Some  tube lights not working in office,2018-10-26 00:00:00
"Requirement of  LED bulb, plastic wire, Pendent Holder & Angle holder",2018-10-30 00:00:00
"Requirement of SP MCB, FP Insulator, DP Insulator and 4 sq. mm. Wire.",2018-10-30 00:00:00
Installation of old Exhaust fan in bathroom of CAD Lab.,2018-10-31 00:00:00
Light is not working gate of workshop.,2018-10-31 00:00:00
"Requirement of SP MCB, FP Insulator, DP Insulator and 4 sq. mm. Wire.", 30-10-2018
One no. Tube light is not working in CDRC Office.,2018-11-01 00:00:00
2 nos. LED bulb fixed in toilet of FF (AMD),2018-11-02 00:00:00
Some bulbs are not working in Research scholar room (CED),2018-11-05 00:00:00
Some LED bulbs are not working in Research Scholar room.,2018-11-06 00:00:00
One LED bulb is not working in Bathroom attached the chamber of Dean (Academic),2018-11-12 00:00:00
Light and fan repairing in MP Hall & Seminar Hall for the Alumni function-2018,2018-11-12 00:00:00
5 nos. square boxes and holders are not working in G-65.,2018-11-13 00:00:00
Wiring of kitchen is damaged in G63,2018-11-13 00:00:00
Some tube lights and LED bulbs are not working in Office of Dean (Academic),2018-11-14 00:00:00
Two nos. power combined are not working in B-19,2018-11-14 00:00:00
"Some electric boards, some light points, one fan are not working and also fixing the door bell in G-23.",2018-11-14 00:00:00
Uninterrupted power supply   in Design centre for the examination.,2018-11-14 00:00:00
"Some switch boards, holders, tube lights, power combined and also AC box are not working in Chamber of  FI (Workshop)",2018-11-14 00:00:00
Three nos. switch are not working in H-36,2018-11-14 00:00:00
Uninterrupted power supply   in Workshop for the examination.,2018-11-14 00:00:00
One no. tube light and one no. fan regulator is not working in the chamber of Dr. Nitin Singh (EED).,2018-11-14 00:00:00
Some tube lights are not working in guest faculty room (EED),2018-11-14 00:00:00
Installation of three wall mounted fans in NCC office under the MP Hall.,2018-11-15 00:00:00
Three nos. of tube lights are not working in Chamber of Dr. V.R. Komma (MED).,2018-11-15 00:00:00
Requirement of 3 nos. square boxes with holder and one no. of 32 amp main switches is not working.,2018-11-15 00:00:00
Some tube lights are not working in SMS Dept.,2018-11-16 00:00:00
One no. tube light is not working in chamber of Dr. D.S. Kushwaha .,2018-11-16 00:00:00
One no. power combiner and 2 mtrs.  wire is required in chamber of HOD(CSED),2018-11-16 00:00:00
Uninterrupted power supply & AC operation in MP Hall & also Institute Seminar Hall for Alumni function- 2018 from 16/11/2018 to 18/11/2018.,2018-11-16 00:00:00
Uninterrupted power supply   in Design centre for the examination.,2018-11-19 00:00:00
Two nos. CFLs are not working.,2018-11-20 00:00:00
Requirement of 10 nos. chokes for the tube lights in SMS.,2018-11-20 00:00:00
Proper lighting in the corridor of ECED of Academic building.,2018-11-22 00:00:00
Installation of wireless bell in BOG chairman office,2018-11-22 00:00:00
One no. fan regulator is not working.,2018-11-22 00:00:00
LED bulbs and holders fixing in all corridors and bathrooms of Academic building ,2018-11-26 00:00:00
One no. LED tube light is fixed in Chamber of Dr. Nitin Singh.,2018-11-26 00:00:00
Installation of tube lights in corridor of survey lab and also flood light in front of Surveying lab (CED),2018-11-26 00:00:00
Proper lighting in the some area of corridor of Academic building.,2018-11-26 00:00:00
UPS are not working in Strength of material lab (AMD),2018-11-27 00:00:00
Tub lights repairing and fan cleaning of all class rooms of Academic building and LHC Building.,2018-11-26 00:00:00
Uninterrupted power supply & AC operation in Seminar Hall for International Conference of ECED form 29/11/2018 to 01/12/2018.,2018-11-28 00:00:00
Uninterrupted power supply   in Design centre for the examination.,2018-11-28 00:00:00
2 Nos. 18 Watt CFLs AND ONE No. LED are not working,2018-11-29 00:00:00
One tube light and one choke need to be replaced in GN -15 (MED),2018-11-29 00:00:00
10 nos. LED bulbs are required in Machine shop  (Workshop),2018-11-30 00:00:00
Some 06 nos. CFLs and two nos. tube lights are not working in CAM lab (MED),2018-11-30 00:00:00
05 Nos. LED Bulbs are fused in DST-FIST lab (AMD).,2018-11-30 00:00:00
Uninterrupted power supply   in Conference hall of CED for the examination.,2018-11-30 00:00:00
10 nos. LED bulbs are required in Machine shop  (Workshop),2018-11-29 00:00:00
Some 06 nos. CFLs and two nos. tube lights are not working in CAM lab (MED),2018-11-30 00:00:00
05 Nos. LED Bulbs are fused in DST-FIST lab (AMD).,2018-11-30 00:00:00
Uninterrupted power supply in Conference hall of CED for the examination.,2018-11-30 00:00:00
Uninterrupted power supply in Conference hall of CED for the examination.,2018-12-01 00:00:00
One no. tube light and one LED bulb are not working in the chamber of Dr. Ambak Kumar Rai.,2018-12-03 00:00:00
Some CFLs are not working in the RPDM Lab.,2018-12-03 00:00:00
Uninterrupted power supply and electric arrangement   for the examination of All India Council Technical Education in Class room no. NLHC-1&2 and SEW-7&8 on dated 10/12/201/ and 16/12/2018,2018-12-04 00:00:00
One no. power combine and one no. holder is not working in G-78,2018-12-04 00:00:00
Uninterrupted power supply in Conference hall of CED for the examination.,2018-12-04 00:00:00
Requirement of 2 nos. 50 meter 2 core electric wire for Electrical Lawn mover.,2018-12-05 00:00:00
Problem in three phase supply in the Advance Manufacturing Lab.,2018-12-05 00:00:00
One no. CFL is not working in the Bathroom of Hydraulic Lab,2018-12-05 00:00:00
No. light in the corridor of CAD lab (CED),2018-12-06 00:00:00
Some LED bulbs are not working in the VI Lab.,2018-12-06 00:00:00
Requirement of 5 meter 3 core lead and one no. 5 amp. 3 pin top in Account office.,2018-12-06 00:00:00
Some CFLs and one no. socket plug are not working in VLSI Lab,2018-12-07 00:00:00
Some CFLs are not working the chamber of Dr. Ashim Mukharjee.,2018-12-07 00:00:00
Some tube lights and some CFLs are not working in the Store of workshop.,2018-12-07 00:00:00
Requirement of 4 nos. ceiling fans are required in the Product Development Lab.,2018-12-09 00:00:00
Fire and Smoke in the lube lights of Chamber of Prof. Anuj Jain.,2018-12-10 00:00:00
Two no. tube lights are not working in the office of Workshop.,2018-12-10 00:00:00
Dismantling of Electric Poles and lights fittings from the athletic ground due to visit of Prime Minister of India.,2018-12-10 00:00:00
Some CFLs and one no. holder are not working in CSED.,2018-12-21 00:00:00
Requirement of Two nos. 7x4 board with wire in A-16.,2018-12-11 00:00:00
One 36 w 4 pin CFL is not working the Director office,2018-12-12 00:00:00
Light and fan repairing in MP Hall & Seminar Hall for the Convocation-2018,2018-12-12 00:00:00
Requirement of one no. ceiling fan in corridor of Office of Dean (Academic).,2018-12-14 00:00:00
One No. 20 amp MCB is damaged in A-24. ,2018-12-14 00:00:00
Requirement of Lighting arrangement in vehicle parking shed near ECED.,2018-12-15 00:00:00
One No. Holder is not working in       A-22,2018-12-18 00:00:00
Shifting works are required in the quarter no. G-43,2018-12-18 00:00:00
One no. power combined is not working and also one no. 8x6 sermic sheet is damaged in Kitchen of Dean (P&D) office.,2018-12-18 00:00:00
4 nos. plug power points & 24 boards are damaged and also 05 nos. T-5 tube lights are out of order,2018-12-19 00:00:00
Requirement of one power combined with 5 meter wire in Account office.,2018-12-20 00:00:00
